# Re(α)   Im(α)
-0.29155 14.2884
0.021738 -9.51301
0.0215063 -9.38538
-0.24475 14.0179
-0.660498 13.8685
0.391761 13.7964
-0.297903 13.8934
0.0212722 -9.25776
2.46091 12.8808
0.0210358 -9.13015
0.0207974 -9.00256
-0.285267 13.5655
0.0205563 -8.87499
0.0203127 -8.74743
0.0200669 -8.61988
0.0198186 -8.49236
-0.279951 13.2456
0.0195677 -8.36485
0.28759 12.9947
-0.496337 12.97
2.12389 12.1231
-0.280872 12.9103
0.0193143 -8.23735
0.0190583 -8.10988
0.0187994 -7.98242
-0.125135 12.6542
-0.246584 12.5966
0.0185382 -7.85497
0.291874 12.4034
0.0182741 -7.72754
-0.287693 12.3308
0.0180073 -7.60013
-0.303252 12.2005
0.0177377 -7.47274
1.8225 11.4151
-0.228451 11.9883
0.0174653 -7.34536
0.0171899 -7.21801
0.399885 11.745
-0.196817 11.7829
0.0169116 -7.09066
0.0166305 -6.96334
-0.149089 11.6577
0.0163463 -6.83603
-0.183938 11.5174
0.0160591 -6.70875
-0.183967 11.3488
0.0157688 -6.58148
1.55862 10.7351
-0.159292 11.1812
0.454992 11.0879
0.0154754 -6.45422
-0.130881 11.0386
0.0151789 -6.32699
-0.129051 10.9194
0.0148792 -6.19978
0.0145763 -6.07258
-0.132312 10.7784
0.0142701 -5.9454
-0.12119 10.6441
1.34392 10.0829
0.480851 10.4657
-0.111678 10.5216
0.0139607 -5.81824
-0.110912 10.3978
0.0136479 -5.6911
-0.10838 10.2708
0.0133318 -5.56398
-0.105226 10.145
0.0130123 -5.43687
-0.102825 10.0202
0.483045 9.88051
1.18054 9.46862
-0.10035 9.89513
-0.097764 9.76985
0.0126894 -5.30979
0.012363 -5.18273
-0.095197 9.64453
0.0120332 -5.05568
-0.0928121 9.51915
0.0116999 -4.92865
0.469079 9.33181
-0.0905364 9.39384
1.06274 8.90187
-0.0882843 9.26854
-0.0860671 9.14325
0.0113631 -4.80165
-0.0838854 9.01786
0.0110227 -4.67466
-0.0818797 8.89237
0.438587 8.81891
0.0106787 -4.54769
-0.0801075 8.76688
0.979898 8.39213
-0.0785605 8.64144
0.0103311 -4.42074
-0.0772546 8.51603
0.00997988 -4.29381
-0.0764629 8.39071
0.376207 8.34686
-0.0763418 8.26607
0.907449 7.94468
0.00962491 -4.1669
-0.0762641 8.14283
0.296511 8.01342
-0.0749043 8.02082
0.00926616 -4.04
-0.0716746 7.89859
-0.0675149 7.77498
0.821365 7.53253
0.386446 7.67847
-0.0635783 7.65011
0.00890354 -3.91313
-0.0602968 7.52466
0.00853696 -3.78627
-0.0575178 7.39909
0.43109 7.27429
0.739187 7.12975
-0.0550451 7.27351
0.0081663 -3.65943
-0.0528254 7.14794
0.00779137 -3.5326
-0.0507805 7.02242
0.00741195 -3.40579
0.443751 6.88988
-0.0488475 6.89693
0.676684 6.74271
-0.0470318 6.77145
0.00702775 -3.279
-0.0453144 6.64599
0.440727 6.52781
-0.043686 6.52052
0.00663838 -3.15222
0.633787 6.37958
-0.0421722 6.39503
0.00624332 -3.02545
-0.0407832 6.26953
0.425837 6.18654
-0.0395672 6.144
0.607411 6.04485
0.00584191 -2.89869
-0.0386039 6.01848
-0.03799 5.89311
0.00543328 -2.77194
0.393855 5.86472
0.592363 5.74542
-0.0377651 5.7682
0.00501632 -2.64519
-0.0374618 5.64424
0.305457 5.60864
0.569326 5.4834
-0.0360731 5.52089
-0.0335813 5.39687
0.361678 5.44015
0.00458959 -2.51845
-0.0310437 5.27183
0.530785 5.23171
-0.0289363 5.14628
0.404648 5.16139
0.00415121 -2.3917
-0.0272242 5.02057
0.498827 4.98009
-0.0257927 4.89482
0.412452 4.89664
0.00369871 -2.26495
-0.0245767 4.76907
0.478457 4.73629
-0.0235568 4.64332
0.407709 4.6489
0.00322884 -2.13818
-0.0227602 4.51759
0.466873 4.50503
-0.0222432 4.39198
0.393983 4.4165
0.00273732 -2.01141
0.462242 4.29181
-0.0219854 4.26672
-0.0215501 4.1421
0.35697 4.19185
0.453917 4.10518
-0.0203116 4.0176
0.303463 4.09832
0.00221871 -1.88462
0.428242 3.93929
-0.0186494 3.89245
0.386568 3.91091
-0.0172152 3.76675
0.00166628 -1.7578
0.416659 3.76971
0.389358 3.70868
-0.0161404 3.64084
-0.0153848 3.5149
0.408866 3.59533
0.0010717 -1.63091
0.383476 3.52768
-0.0149213 3.38908
0.403813 3.42745
-0.0146194 3.26358
0.373248 3.35838
0.000423864 -1.5039
0.401418 3.27168
-0.0140314 3.13842
0.349083 3.17964
0.30119 3.16897
0.389808 3.13341
-0.0130089 3.01302
-0.000294564 -1.37668
0.380411 3.02778
0.369737 2.97847
-0.0120531 2.88717
0.377563 2.8936
-0.00111426 -1.24912
0.365395 2.83641
-0.011421 2.76115
0.373518 2.76235
-0.0110491 2.63525
0.35972 2.70414
-0.00209143 -1.12111
0.370314 2.63804
-0.0106277 2.50958
0.350233 2.57533
0.363575 2.52376
0.284993 2.52298
-0.00998015 2.3838
0.35775 2.4498
-0.003327 -0.992592
0.353017 2.40509
0.356834 2.34261
-0.0094266 2.25774
0.349763 2.29395
-0.00908205 2.13168
0.353699 2.23859
0.345688 2.18964
-0.00499785 -0.86361
0.350362 2.13991
-0.0087253 2.00567
0.34048 2.08743
0.280847 2.06374
0.343543 2.04586
-0.00834961 1.87953
0.343346 1.99222
-0.00740979 -0.734454
0.33968 1.95168
0.341628 1.90545
-0.00809126 1.7533
0.3371 1.86434
0.338857 1.82225
-0.00786357 1.627
0.333571 1.78108
-0.0110507 -0.605948
0.334771 1.74309
0.276612 1.72411
0.332322 1.69964
0.330916 1.66461
-0.00770208 1.50052
0.331828 1.62596
0.32903 1.59114
0.329602 1.55585
-0.0076347 1.37377
0.326361 1.52143
-0.0162186 -0.480334
0.326341 1.48876
0.274329 1.46613
0.324342 1.45347
0.323493 1.4228
-0.00770919 1.24663
0.323754 1.39069
0.321905 1.36099
0.321807 1.33136
-0.019779 -0.361642
0.319546 1.30218
-0.00801062 1.11899
0.318918 1.2742
0.272581 1.26577
0.317927 1.24499
0.317146 1.21859
0.316959 1.19194
-0.00867031 0.990793
0.315529 1.16657
0.314943 1.14156
-0.0140329 -0.246467
0.313299 1.11646
0.271288 1.10735
0.312696 1.09244
-0.00989259 0.8621
0.312283 1.06844
0.311421 1.04593
0.706852 0.487973
0.310822 1.02361
0.566088 0.768224
0.309488 1.00179
-0.0120099 0.73324
0.3087 0.980291
0.270251 0.979996
0.307976 0.958914
0.30739 0.938749
-0.00407961 -0.125411
0.306734 0.918877
-0.0155322 0.605141
0.305656 0.899599
0.304787 0.880464
0.269468 0.876258
0.303974 0.861589
0.303417 0.843555
0.302682 0.825937
-0.0206256 0.480332
0.30171 0.808809
0.300821 0.791795
0.268871 0.790787
0.300075 0.775158
0.299463 0.759174
-0.0232218 0.362817
0.298649 0.743603
0.297715 0.728353
0.268426 0.719708
0.296922 0.713257
0.545462 0.0821518
0.296264 0.698669
-0.0157382 0.247463
0.295565 0.684587
-0.00489579 0.125643
0.294691 0.670785
0.26812 0.660153
0.293877 0.657187
0.293242 0.643941
0.292553 0.631194
0.291748 0.618732
0.267956 0.60998
0.290967 0.606419
0.29035 0.594497
0.289666 0.582985
0.288858 0.571707
0.267965 0.567574
0.288163 0.560612
0.287532 0.549915
0.286778 0.539558
0.286007 0.529335
0.26823 0.531722
0.285349 0.519434
0.284588 0.509905
0.283751 0.500502
0.268945 0.501467
0.283015 0.49139
0.282143 0.482639
0.281164 0.473925
0.270394 0.475888
0.280377 0.465557
0.279167 0.457525
0.272579 0.454017
0.278241 0.44916
0.277366 0.441805
0.274967 0.4363
0.275833 0.432686
0.275995 0.426412
0.275501 0.42111
0.275558 0.416105
